repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,65,15.5,2.25,5.0,-0.05943262896358448,-15.559432628963584,3.8065152524316344,2.9237769528533404,0,1,nan,133,1,
0,66,16.0,2.25,5.0,-0.06132325658473636,-16.061323256584735,3.773251782365381,2.9567692133490513,0,1,nan,133,1,
0,67,16.5,2.25,5.0,-0.06935429080102828,-16.56935429080103,3.8266474405351563,2.956440680033783,0,1,nan,141,1,
0,68,17.0,2.25,5.0,-0.058264503194924266,-17.058264503194923,3.8282254208044852,2.953493003953765,0,1,nan,141,1,
0,69,17.5,2.25,5.0,-0.06176812135240972,-17.561768121352408,3.7303677466031817,3.0546041329028006,0,1,nan,147,1,
0,70,18.0,2.25,5.0,-0.04837500962073005,-18.04837500962073,3.6518617646823843,3.1504259839534297,0,1,nan,147,1,
0,71,18.5,2.25,5.0,-0.041004009545605236,-18.541004009545606,3.666313911160842,3.161860381630819,0,1,nan,154,1,
0,72,19.0,2.25,5.0,-0.03409808452199581,-19.034098084521997,3.666433067145272,3.1621808319287044,0,1,nan,154,1,
0,73,19.5,2.25,5.0,-0.05771891771718973,-19.55771891771719,1.9511908632881245,4.848762552925805,0,0,nan,160,1,
0,74,20.0,2.25,5.0,0.09828720475119024,-19.90171279524881,1.9538629756451666,4.8607400777831025,0,0,nan,160,1,
0,75,20.5,2.25,5.0,1.1635817497229928,-19.336418250277006,1.948197312184007,4.84844785567486,0,0,nan,160,1,
0,76,21.0,2.25,5.0,0.9421808441968871,-20.057819155803113,1.9511898038541093,4.848750153983446,0,0,nan,160,1,
0,77,21.5,2.25,5.0,1.9747105388997648,-19.525289461100236,1.9495988018205517,4.847711803063805,0,0,nan,160,1,
0,78,22.0,2.25,5.0,1.9755333122917724,-20.024466687708227,1.950891021486517,4.84845071401774,0,0,nan,160,1,
0,79,22.5,2.25,5.0,2.9688847968470915,-19.531115203152908,1.9514954434698746,4.848730603770797,0,0,nan,160,1,
0,80,23.0,2.25,5.0,3.156572121467647,-19.843427878532353,1.948498530275293,4.848062820665372,0,0,nan,160,1,
